restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,14.0,1.5,110,1260,40,3.0,10,37.0
Subway,Subway Melt® Salad,200,10,5.0,0.0,45,910,13,4.0,6,18.0
Mcdonalds,Hamburger,250,8,3.0,0.0,30,480,31,2.0,6,13.0
Subway,Autumn Carved Turkey Salad,300,9,3.0,0.0,60,1120,26,3.0,22,25.0
Dairy Queen,Crispy Chicken BLT Salad,520,31,10.0,0.0,100,1470,25,9.0,6,37.0
Taco Bell,Cheese Roll-Up,190,9,5.0,0.0,20,450,18,2.0,1,9.0
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10,3.5,0.0,15,500,26,6.0,9,8.0
Dairy Queen,Grilled Chicken Sandwich,360,15,3.0,0.0,50,1040,32,1.0,5,25.0
Subway,Kids Mini Sub Turkey Breast,180,2,0.5,0.0,10,380,30,3.0,5,10.0
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,12.0,0.5,120,1980,81,4.0,18,46.0
Chick Fil-A,6 piece Chicken Nuggets,190,9,1.5,0.0,55,730,7,1.0,0,21.0
Arbys,Smokehouse Brisket,600,35,12.0,1.0,110,1240,42,2.0,7,33.0
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,45,11.0,0.0,95,1720,58,3.0,8,32.0
Sonic,"All Beef New York Dog – 6""",340,19,7.0,0.0,40,1250,30,3.0,4,13.0
Mcdonalds,McChicken,350,15,3.5,0.0,40,600,40,2.0,5,15.0
Taco Bell,MexiMelt®,270,14,7.0,1.0,40,740,21,3.0,2,14.0
Dairy Queen,Deluxe Hamburger,350,14,7.0,1.0,50,680,34,1.0,9,17.0
Dairy Queen,Steak Finger Basket,910,48,13.0,0.5,45,2210,95,5.0,2,23.0
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,26,10.0,0.5,45,1530,76,7.0,5,22.0
Sonic,Small Jumbo Popcorn Chicken,380,22,4.0,0.0,45,1250,27,3.0,1,18.0
Taco Bell,Chalupa Supreme® - Chicken,340,18,4.0,0.0,40,530,29,3.0,4,16.0
Mcdonalds,Classic Chicken Sandwich,510,24,4.0,0.0,65,1040,49,3.0,6,25.0
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,51,20.0,2.0,135,1280,44,3.0,13,40.0
Taco Bell,Triple Melt Nachos,260,16,4.5,0.0,30,550,19,3.0,1,10.0
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,54,18.0,2.0,130,1090,44,2.0,7,35.0
Arbys,Bourbon BBQ Steak Sandwich,690,31,9.0,0.0,90,1990,66,3.0,16,38.0
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44,8.0,0.5,145,1890,32,1.0,1,58.0
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,42,14.0,1.0,75,2020,94,12.0,6,31.0
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18,0.0,0.0,95,1200,46,2.0,10,33.0
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,9,4.0,0.0,25,340,13,2.0,1,8.0
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,7.0,0.0,125,1150,48,3.0,11,42.0
Taco Bell,Triple Layer Nachos,320,15,1.5,0.0,0,600,41,6.0,2,7.0
Taco Bell,Shredded Chicken Mini Quesadilla,180,8,2.5,0.0,25,540,15,2.0,1,12.0
Taco Bell,Fiesta Taco Salad-Steak,720,36,8.0,1.0,55,1340,70,8.0,8,28.0
Subway,"6"" BBQ Rib Sandwich",430,18,6.0,0.0,50,590,47,5.0,8,19.0
Burger King,Crispy Chicken Jr.,430,28,4.5,0.0,30,760,34,2.0,4,12.0
Sonic,"All Beef All-american Style Dog – 6""",370,18,7.0,0.0,40,1180,40,1.0,15,12.0
Arbys,Pizza Slider,300,17,6.0,0.0,35,930,23,1.0,2,13.0
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,27.0,3.0,220,1920,63,3.0,18,70.0
Subway,Big Philly Cheesesteak Salad,330,16,8.0,1.0,85,1080,17,5.0,6,32.0
Subway,"6"" Cold Cut Combo",370,13,4.0,0.0,50,1140,46,5.0,7,18.0
Taco Bell,Fiery Doritos® Locos Taco,170,10,3.5,0.0,25,370,12,3.0,1,8.0
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92,36.0,4.0,260,1630,44,2.0,7,67.0
Taco Bell,Mild Naked Chicken Chalupa,440,30,7.0,0.0,70,1090,22,3.0,1,20.0
Subway,Turkey Breast & Ham Salad,110,3,1.0,0.0,25,580,11,4.0,5,12.0
Arbys,Roast Turkey & Swiss Sandwich,710,28,7.0,0.0,65,1930,79,5.0,15,38.0
Taco Bell,BLT Crunchwrap Slider,430,23,5.0,0.0,20,900,43,3.0,4,12.0
Taco Bell,Spicy Double Chalupa,600,35,8.0,0.5,50,1240,52,7.0,5,21.0
Taco Bell,Chicken Quesadilla,520,28,12.0,1.0,75,1210,41,4.0,3,27.0
Subway,"6"" B.L.T.",320,9,4.0,0.0,20,680,43,5.0,6,15.0
Subway,"6"" Subway Club",310,5,2.0,0.0,40,880,46,5.0,7,23.0
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,34,10.0,0.5,80,2420,79,5.0,16,45.0
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21,3.5,0.0,70,910,16,0.0,0,28.0
Arbys,Fire-Roasted Philly Steak,640,32,11.0,0.5,105,1950,46,3.0,4,42.0
Burger King,Rodeo King,1250,82,31.0,3.5,230,2270,69,3.0,14,60.0
Taco Bell,Beefy Nacho Griller,420,19,4.5,0.0,20,870,49,5.0,3,12.0
Taco Bell,Double Cheesy Gordita Crunch,570,32,12.0,1.0,70,1110,44,7.0,5,25.0
Burger King,Jalapeno King Sandwich,990,65,24.0,3.0,205,1550,46,2.0,7,55.0
Sonic,Jalapeno Burger,640,37,14.0,2.0,100,930,42,2.0,6,31.0
Subway,"6"" Chicken & Bacon Ranch Melt",570,28,10.0,1.0,95,1080,47,5.0,8,35.0
Burger King,Double Cheeseburger,450,26,12.0,1.0,95,960,29,1.0,6,26.0
Taco Bell,Fresco Grilled Steak Soft Taco,150,4,2.0,0.0,15,500,19,2.0,2,9.0
Arbys,Smokehouse Beef Short Rib Sandwich,590,59,10.0,1.0,75,1510,59,4.0,14,26.0
Arbys,Buttermilk Crispy Chicken Sandwich,550,26,4.5,0.0,60,1480,52,2.0,6,29.0
Taco Bell,Cantina Power Burrito - Chicken,760,27,6.0,0.0,60,1960,96,12.0,7,32.0
Taco Bell,Double Tostada,270,11,4.0,0.0,15,650,32,8.0,2,12.0
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,27,4.0,0.0,105,1780,63,2.0,35,39.0
Arbys,3 piece Prime-Cut Chicken Tenders,360,17,2.5,0.0,45,950,28,2.0,0,23.0
Mcdonalds,Lobster Roll,290,5,1.5,0.0,65,630,35,2.0,3,24.0
Taco Bell,Gordita Supreme® - Chicken,270,10,4.0,0.0,40,510,29,2.0,6,16.0
Subway,Footlong Subway Club,620,10,4.0,0.0,80,1760,92,10.0,14,46.0
Sonic,"All Beef Regular Hot Dog – 6""",320,18,7.0,0.0,40,870,27,1.0,3,11.0
Subway,Footlong Turkey Breast & Ham,560,8,2.0,0.0,40,1640,92,10.0,16,36.0
Arbys,Arby-Q Sandwich,400,10,3.0,0.0,30,1230,58,3.0,23,18.0
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,21,5.0,0.0,30,520,7,2.0,3,5.0
Mcdonalds,10 Piece Chicken McNuggets,440,27,4.5,0.0,75,840,26,2.0,0,24.0
Subway,"6"" Spicy Italian",480,24,9.0,1.0,50,1520,46,5.0,8,20.0
Taco Bell,Shredded Chicken Burrito,400,18,4.5,0.0,30,960,45,3.0,3,16.0
Sonic,Footlong Quarter Pound Coney,830,54,22.0,1.0,85,1940,54,3.0,9,30.0
Taco Bell,Gordita Supreme® – Beef,300,14,5.0,0.0,30,550,31,4.0,6,13.0
Subway,"6"" Sweet Onion Chicken Teriyaki",380,5,1.0,0.0,50,900,59,5.0,18,26.0
Subway,"6"" Turkey & Bacon Avocado",390,13,3.5,0.0,30,860,49,8.0,7,22.0
Subway,Footlong Sweet Onion Chicken Teriyaki,760,10,2.0,0.0,100,1800,118,10.0,36,52.0
Sonic,Small Spicy Jumbo Popcorn Chicken,350,17,3.0,0.0,45,860,30,2.0,0,21.0
Dairy Queen,Grilled Chicken Wrap,280,15,4.0,0.0,30,800,22,1.0,1,15.0
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38,12.0,1.0,100,1040,14,4.0,7,30.0
Arbys,Turkey Avocado Club,730,28,6.0,0.0,65,2140,80,6.0,16,41.0
Chick Fil-A,3 Piece Chick-n-Strips,350,17,3.0,0.0,70,940,22,1.0,3,28.0
Subway,Footlong Cold Cut Combo,740,26,8.0,0.0,100,2280,92,10.0,14,36.0
Taco Bell,Smothered Burrito - Shredded Chicken,650,28,10.0,0.0,70,2230,67,8.0,4,34.0
Sonic,Traditional Ultimate Chicken Sandwich,730,39,8.0,0.0,90,1540,62,3.0,11,32.0
Taco Bell,Double Chalupa,600,35,8.0,0.5,50,1010,50,6.0,5,21.0
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,20,5.0,0.0,115,1550,56,4.0,14,41.0
Burger King,Bacon Cheeseburger Deluxe,290,14,6.0,0.5,40,720,28,1.0,7,12.0
Taco Bell,Grilled Steak Soft Taco,250,14,4.0,0.0,30,550,19,2.0,2,11.0
Sonic,Chicken Strip Sandwich,450,24,4.0,0.0,35,740,43,1.0,4,19.0
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,24,9.0,0.0,50,1520,75,5.0,5,25.0
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,11,5.0,0.0,35,370,15,3.0,2,9.0
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,9.0,0.5,95,1780,69,5.0,14,39.0
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21,8.0,0.0,135,1890,50,3.0,14,48.0
Dairy Queen,Barbecue Pork Sandwich,310,9,3.0,0.0,50,830,41,2.0,9,17.0
Taco Bell,Smothered Burrito - Steak,670,29,11.0,0.5,80,2080,68,7.0,4,35.0
Subway,Subway Club Salad,140,4,1.0,0.0,40,640,11,4.0,5,17.0
Mcdonalds,40 piece Chicken McNuggets,1770,107,18.0,0.5,295,3370,105,7.0,1,98.0
Arbys,Half Pound Roast Beef Sandwich,610,30,12.0,2.0,130,2040,38,2.0,5,48.0
Taco Bell,7-Layer Burrito,510,19,7.0,0.0,20,1090,68,11.0,4,16.0
Arbys,Bourbon BBQ Chicken Sandwich,690,31,9.0,0.0,90,1990,66,3.0,16,38.0
Subway,Buffalo Chicken Salad (with Ranch dressing),360,26,4.0,0.0,60,1100,13,4.0,6,20.0
Dairy Queen,Chicken Mozzarella Sandwich,640,25,8.0,0.0,60,1530,68,4.0,3,34.0
Burger King,Bacon Cheeseburger,330,16,7.0,0.0,55,830,32,1.0,7,18.0
Taco Bell,Stacker,390,18,8.0,0.5,40,1050,39,4.0,3,18.0
Dairy Queen,Crispy Fish Sandwich,470,22,3.0,0.0,20,1210,53,2.0,7,17.0
Subway,"6"" Subway Seafood Sensation",420,19,3.0,0.0,20,690,51,5.0,8,13.0
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33,12.0,1.5,95,920,41,4.0,7,29.0
Burger King,Big Fish Sandwich,530,27,4.5,0.0,30,1360,54,2.0,7,17.0
Subway,Footlong Meatball Marinara,960,36,14.0,2.0,60,1900,118,16.0,24,42.0
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,51,9.0,1.0,75,2390,118,8.0,9,37.0
Dairy Queen,Grilled Chicken Garden Greens Salad,150,2,0.5,0.0,40,730,10,3.0,6,23.0
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,10,3.5,0.0,25,350,13,2.0,1,8.0
Subway,Pepperoni Pizza,790,32,13.0,0.0,60,1350,96,4.0,8,38.0
Burger King,Spicy Crispy Chicken Jr.,410,25,4.5,0.0,35,850,35,2.0,5,12.0
Burger King,WHOPPER w/o Cheese,660,40,12.0,1.5,90,980,49,2.0,11,28.0
Burger King,4 Piece Spicy Chicken Nuggets,210,15,3.0,0.0,20,570,11,2.0,0,8.0
Burger King,BK VEGGIE Burger,410,16,3.0,0.0,5,1030,44,7.0,8,22.0
Sonic,Veggie Burger W/ Ketchup,450,14,4.0,0.0,10,1410,67,5.0,11,15.0
Taco Bell,Fresco Burrito Supreme® – Chicken,340,8,3.0,0.0,25,1020,50,7.0,4,17.0
Burger King,Side Caesar Salad with dressing,220,20,4.0,0.0,10,540,7,2.0,3,6.0
Burger King,DOUBLE WHOPPER w/ Cheese,990,65,24.0,2.0,160,1480,53,3.0,11,52.0
Chick Fil-A,Chicken Deluxe,500,23,7.0,0.0,75,1590,42,3.0,6,31.0
Arbys,Roast Beef Gyro,550,29,7.0,1.0,60,1290,48,3.0,5,24.0
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,9,1.0,0.0,80,740,18,5.0,10,31.0
Taco Bell,Beef Spicy Cheesy Core Burrito,570,23,10.0,0.5,45,1760,68,7.0,5,22.0
Burger King,6 Piece Chicken Nuggets,290,17,3.0,0.0,40,460,15,1.0,0,15.0
Taco Bell,Express Taco Salad w/ Chips,580,29,9.0,1.0,60,1270,59,8.0,7,23.0
Burger King,Hamburger,260,10,4.0,0.0,35,490,28,1.0,6,13.0
Arbys,Super Roast Beef,430,17,5.0,1.0,45,1060,45,3.0,11,23.0
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,43,7.0,0.0,80,1760,40,5.0,8,34.0
Taco Bell,Chili Cheese Burrito,380,17,8.0,1.0,35,930,41,5.0,2,16.0
Burger King,Grilled Chili Cheese Dog,330,19,8.0,1.0,40,980,28,2.0,5,14.0
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,26,7.0,0.0,70,1600,46,5.0,8,33.0
Sonic,Sonic Burger W/ Mayonnaise,740,48,15.0,2.0,110,760,44,2.0,7,31.0
Taco Bell,Beefy Fritos® Burrito,440,18,5.0,0.0,20,1030,55,4.0,3,13.0
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,24,7.0,0.0,85,1070,30,5.0,6,29.0
Sonic,Veggie Burger With Mustard,450,14,4.0,0.0,10,1350,64,5.0,8,15.0
Subway,"6"" Veggie Delite",230,3,1.0,0.0,0,310,44,5.0,6,8.0
Arbys,Turkey Gyro,470,20,3.5,0.0,45,1520,48,3.0,5,25.0
Subway,"6"" Chicken Pizziola Melt",460,16,6.0,0.0,80,1140,49,6.0,9,32.0
Taco Bell,Triple Melt Burrito,410,16,6.0,0.0,30,1030,50,4.0,3,15.0
Burger King,American Brewhouse King,1550,126,47.0,8.0,805,1820,21,3.0,7,134.0
Dairy Queen,Crispy Chicken Sandwich,600,30,5.0,0.0,55,1250,59,7.0,8,24.0
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,30,7.0,0.0,110,1570,44,3.0,8,40.0
Dairy Queen,Deluxe Cheeseburger,400,18,9.0,1.0,65,930,35,1.0,9,20.0
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,36,12.0,1.0,70,2020,91,10.0,7,33.0
Subway,"6"" Carved Turkey",330,5,1.0,0.0,45,890,45,5.0,7,25.0
Subway,Double Chicken Salad,220,5,1.5,0.0,100,490,10,4.0,4,36.0
Arbys,Roast Turkey & Swiss Wrap,520,27,9.0,0.0,65,1640,39,4.0,6,30.0
Taco Bell,Nacho Fries Bellgrande,710,41,6.0,0.0,30,1420,73,10.0,4,13.0
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,12,4.5,0.0,85,1310,47,5.0,9,33.0
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,14,6.0,0.0,45,1230,9,3.0,4,42.0
Taco Bell,Fiesta Taco Salad-Chicken,720,35,7.0,0.0,70,1260,70,8.0,8,32.0
Dairy Queen,Original Cheeseburger,400,18,9.0,1.0,65,930,34,1.0,8,19.0
Subway,Footlong Steak and Cheese,760,20,10.0,0.0,100,2120,96,10.0,16,52.0
Taco Bell,Nachos BellGrande®,760,39,6.0,0.0,30,1100,82,13.0,5,18.0
Dairy Queen,Chicken Bacon Ranch Sandwich,500,20,8.0,0.0,65,1190,45,3.0,3,33.0
Subway,Black Forest Ham Salad,110,3,1.0,0.0,20,590,11,4.0,6,12.0
Sonic,The Original Pretzel Dog,320,18,7.0,0.0,35,910,27,1.0,2,11.0
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,50,13.0,0.0,120,1960,32,5.0,7,36.0
Arbys,Ham & Swiss Melt,300,9,4.0,0.0,35,1030,37,2.0,6,18.0
Dairy Queen,Relish Dog,350,20,8.0,1.0,35,1000,30,1.0,6,13.0
Chick Fil-A,Chick-n-Slider,270,11,2.5,0.0,45,800,26,1.0,4,16.0
Taco Bell,Steak Quesarito,630,31,11.0,0.5,65,1410,64,3.0,4,25.0
Taco Bell,Steak Quesadilla,520,28,12.0,1.0,65,1250,41,4.0,3,25.0
Arbys,Classic Roast Beef,360,14,5.0,0.5,50,970,37,2.0,5,23.0
Subway,"6"" Turkey Breast",280,4,1.0,0.0,20,810,46,5.0,7,18.0
Subway,Cheese & Veggies Pizza,740,25,11.0,0.0,50,1270,100,5.0,9,36.0
Subway,Footlong Oven Roasted Chicken,640,10,4.0,0.0,50,1280,44,10.0,16,46.0
Sonic,Crispy Chicken Sandwich,570,33,5.0,0.0,45,1060,47,4.0,6,23.0
Arbys,Chicken Tender 'n Cheese Slider,290,12,3.5,0.0,25,720,30,1.0,1,15.0
Burger King,Rodeo Burger,310,13,4.0,0.5,25,450,38,1.0,9,9.0
Chick Fil-A,Spicy Deluxe,540,25,8.0,0.0,80,1760,43,2.0,6,34.0
Taco Bell,Cantina Power Bowl - Chicken,560,22,4.0,0.0,60,1520,64,9.0,4,26.0
Sonic,Sonic Burger W/ Mustard,640,37,14.0,2.0,100,790,43,2.0,7,31.0
Taco Bell,Cheesy Gordita Crunch,490,29,10.0,1.0,55,810,39,5.0,6,20.0
Arbys,Reuben Sandwich,680,31,8.0,0.5,80,2420,62,4.0,5,37.0
Subway,Carved Turkey Salad,150,4,0.0,0.0,45,680,8,3.0,3,19.0
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,53,9.0,1.0,80,2780,105,9.0,4,35.0
Chick Fil-A,12 piece Chicken Nuggets,390,18,1.5,0.0,115,1460,14,2.0,1,41.0
Sonic,3 Piece Super Crunch Chicken Strips,330,16,3.0,0.0,55,670,25,2.0,0,22.0
Sonic,Veggie Burger W/ Mustard,450,14,4.0,0.0,10,1300,64,5.0,8,15.0
Burger King,Bacon & Cheese Whopper,770,48,16.0,2.0,95,1360,47,2.0,9,29.0
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,39,14.0,2.0,130,2530,48,2.0,9,49.0
Arbys,Beef 'n Cheddar Mid,630,32,11.0,1.5,100,2100,48,2.0,9,39.0
Subway,Footlong Veggie Patty,780,14,2.0,0.0,20,1600,112,16.0,16,46.0
Dairy Queen,Bacon Cheese Dog,420,26,11.0,1.0,60,1140,26,1.0,3,19.0
Taco Bell,Spicy Chicken Crunchwrap Slider,400,20,4.0,0.0,25,900,42,3.0,3,15.0
Subway,Footlong Rotisserie Style Chicken,700,12,3.0,0.0,100,1080,88,10.0,14,58.0
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,57,10.0,1.0,90,2610,126,8.0,9,44.0
Subway,Footlong B.L.T.,640,18,8.0,0.0,40,1360,86,10.0,12,30.0
Subway,"6"" Italian Hero",550,29,10.0,0.0,75,1470,47,5.0,9,26.0
Mcdonalds,Big Mac,540,28,10.0,1.0,80,950,46,3.0,9,25.0
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37,14.0,1.5,110,1310,51,3.0,14,38.0
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,34,11.0,0.5,85,2130,39,4.0,6,37.0
Burger King,Sourdough King Single,730,43,16.0,1.5,125,1570,52,2.0,12,35.0
Sonic,Grilled Chicken Sandwich,430,20,4.0,0.0,80,940,33,2.0,6,28.0
Taco Bell,Fresco Crunchy Taco,140,8,2.0,0.0,20,290,13,3.0,1,6.0
Subway,"6"" Big Philly Cheesesteak",500,17,9.0,1.0,85,1310,51,6.0,8,38.0
Arbys,Corned Beef 'n Cheese Slider,220,9,3.5,0.0,30,890,21,1.0,1,14.0
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,12,4.5,0.0,65,1320,11,4.0,5,28.0
Mcdonalds,Single Bacon Smokehouse Burger,840,45,17.0,1.5,130,1580,62,2.0,18,46.0
Sonic,Jr. Chili Cheeseburger,410,24,9.0,0.5,55,730,32,1.0,4,20.0
Taco Bell,Chicken Quesarito,620,30,10.0,0.0,60,1440,64,4.0,4,24.0
Arbys,Crispy Chicken Farmhouse Salad,430,24,8.0,0.0,65,1000,26,4.0,4,28.0
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,59,20.0,2.0,140,1350,45,2.0,7,39.0
Taco Bell,Chalupa Supreme®–Beef,370,21,5.0,0.0,30,570,31,4.0,4,13.0
Subway,Footlong Italian B.M.T.,820,32,12.0,0.0,90,2600,92,10.0,16,40.0
Subway,Footlong Carved Turkey,660,10,2.0,0.0,90,1780,90,10.0,14,50.0
Arbys,Super Greek Salad,720,53,15.0,0.0,85,1310,39,5.0,7,22.0
Sonic,"All Beef Chili Cheese Coney – 6""",410,26,11.0,0.0,65,1140,30,2.0,4,17.0
Taco Bell,Crunchwrap Supreme®,540,21,6.0,0.0,30,1110,71,7.0,7,16.0
Taco Bell,Steak Quesalupa,440,23,10.0,0.5,60,840,36,3.0,3,22.0
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88,15.0,1.0,295,3770,64,1.0,2,115.0
Dairy Queen,Chili Cheese Mega Dog,760,49,21.0,2.0,100,1570,48,2.0,6,32.0
Sonic,Jr. Deluxe Cheeseburger,450,28,9.0,1.0,60,800,33,1.0,4,19.0
Burger King,Bacon & Swiss Sourdough King,1000,65,24.0,3.0,200,1320,48,2.0,8,56.0
Taco Bell,Crunchy Taco Supreme®,200,12,5.0,0.0,35,320,15,3.0,2,9.0
Mcdonalds,Double Cheeseburger,430,21,11.0,1.0,85,1040,35,2.0,7,25.0
Subway,Italian B.M.T.® Salad,230,15,6.0,0.0,45,1060,12,4.0,6,14.0
Burger King,WHOPPER JR. w/o Cheese,340,19,5.0,0.0,40,510,28,2.0,6,14.0
Taco Bell,Beef Quesarito,650,34,12.0,0.5,60,1450,65,6.0,5,22.0
Taco Bell,Beefy 5-Layer Burrito,550,22,8.0,0.0,35,1270,68,8.0,5,19.0
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3,1.0,0.0,50,330,2,0.0,0,19.0
Burger King,Homestyle Cheeseburger,550,27,12.0,1.5,95,1140,48,2.0,10,30.0
Subway,Footlong Chicken & Bacon Ranch Melt,1140,56,20.0,2.0,190,2160,94,10.0,16,70.0
Arbys,5 piece Prime-Cut Chicken Tenders,600,28,4.0,0.0,75,1590,47,3.0,0,39.0
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,12,5.0,0.0,40,660,9,3.0,3,14.0
Arbys,Half Pound French Dip & Swiss,750,36,17.0,2.0,150,3350,51,2.0,3,55.0
Taco Bell,Cantina Power Burrito - Veggie,740,26,5.0,0.0,10,1750,107,17.0,8,20.0
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,52,14.0,0.0,140,3200,92,10.0,16,66.0
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16,8.0,0.0,85,1120,37,3.0,7,37.0
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22,7.0,0.0,135,1930,61,4.0,18,48.0
Sonic,Large Spicy Jumbo Popcorn Chicken,610,30,5.0,0.0,80,1500,51,3.0,0,36.0
Chick Fil-A,30 piece Chicken Nuggets,970,46,2.5,0.0,285,3660,35,4.0,1,103.0
Arbys,Greek Gyro Salad,420,37,9.0,0.0,55,700,11,2.0,4,10.0
Subway,Footlong Tuna,940,48,8.0,0.0,60,1240,88,10.0,12,40.0
Taco Bell,Soft Taco-Beef,200,9,4.0,0.0,25,510,19,3.0,1,10.0
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,35,10.0,0.0,110,2000,53,1.0,7,41.0
Taco Bell,Spicy Potato Soft Taco,250,13,3.0,0.0,10,510,28,3.0,1,6.0
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,76,32.0,4.0,235,1550,44,2.0,8,63.0
Sonic,5 Piece Crispy Chicken Tender Dinner,470,24,4.5,0.0,0,1340,26,0.0,0,37.0
Taco Bell,Steak Spicy Cheesy Core Burrito,550,21,9.0,0.0,50,1750,66,5.0,5,24.0
Taco Bell,Chalupa Supreme® - Steak,340,18,4.0,0.0,30,570,29,3.0,4,14.0
Taco Bell,Nachos Supreme,430,23,5.0,0.0,30,690,44,7.0,3,12.0
